지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41689.70833,25
90,41689.75,30
90,41689.79167,26
90,41689.83333,30
90,41689.875,26
90,41689.91667,30
90,41689.95833,24
90,41690,22
90,41690.04167,20
90,41690.08333,27
90,41690.125,24
90,41690.16667,24
90,41690.20833,22
90,41690.25,16
90,41690.29167,20
90,41690.33333,19
90,41690.375,23
90,41690.41667,20
90,41690.45833,21
90,41690.5,41
90,41690.54167,36
90,41690.58333,39
90,41690.625,46
90,41690.66667,29
90,41690.70833,28
90,41690.75,37
90,41690.79167,33
90,41690.83333,13
90,41690.875,18
90,41690.91667,8
90,41690.95833,14
90,41691,18
90,41691.04167,17
90,41691.08333,9
90,41691.125,18
90,41691.16667,18
90,41691.20833,23
90,41691.25,27
90,41691.29167,30
90,41691.33333,30
90,41691.375,42
90,41691.41667,45
90,41691.45833,56
90,41691.5,61
90,41691.54167,56
90,41691.58333,61
90,41691.625,51
90,41691.66667,50
90,41691.70833,49
90,41691.75,48
90,41691.79167,50
90,41691.83333,40
90,41691.875,44
90,41691.91667,44
90,41691.95833,45
90,41692,46
90,41692.04167,47
90,41692.08333,58
90,41692.125,55
90,41692.16667,52
90,41692.20833,56
90,41692.25,58
90,41692.29167,56
90,41692.33333,56
90,41692.375,47
90,41692.41667,56
90,41692.45833,57
90,41692.5,55
90,41692.54167,61
90,41692.58333,53
90,41692.625,53
90,41692.66667,60
90,41692.70833,48
90,41692.75,59
90,41692.79167,54
90,41692.83333,52
90,41692.875,51
90,41692.91667,44
90,41692.95833,46
90,41693,48
90,41693.04167,43
90,41693.08333,38
90,41693.125,48
90,41693.16667,38
90,41693.20833,46
90,41693.25,39
90,41693.29167,45
90,41693.33333,41
90,41693.375,43
90,41693.41667,38
90,41693.45833,44
90,41693.5,51
90,41693.54167,49
90,41693.58333,37
90,41693.625,39
90,41693.66667,46
90,41693.70833,42
90,41693.75,52
90,41693.79167,44
90,41693.83333,52
90,41693.875,47
90,41693.91667,42
90,41693.95833,43
90,41694,47
90,41694.04167,37
90,41694.08333,43
90,41694.125,49
90,41694.16667,48
90,41694.20833,54
90,41694.25,50
90,41694.29167,51
90,41694.33333,52
90,41694.375,46
90,41694.41667,58
90,41694.45833,55
90,41694.5,59
90,41694.54167,70
90,41694.58333,65
90,41694.625,58
90,41694.66667,65
90,41694.70833,64
90,41694.75,66
90,41694.79167,75
90,41694.83333,73
90,41694.875,95
90,41694.91667,109
90,41694.95833,122
90,41695,138
90,41695.04167,134
90,41695.08333,134
90,41695.125,136
90,41695.16667,131
90,41695.20833,133
90,41695.25,129
90,41695.29167,124
90,41695.33333,126
90,41695.375,119
90,41695.41667,132
90,41695.45833,120
90,41695.5,112
90,41695.54167,133
90,41695.58333,130
90,41695.625,115
90,41695.66667,110
90,41695.70833,111
90,41695.75,116
90,41695.79167,111
90,41695.83333,109
90,41695.875,98
90,41695.91667,91
90,41695.95833,97
90,41696,91
90,41696.04167,100
90,41696.08333,111
90,41696.125,103
90,41696.16667,99
90,41696.20833,113
90,41696.25,106
